"name","icao","iata","coordinates","cityName","countryName","airport"
"Sochi International Airport","URSS","AER","43.450676 39.956589","Sochi","Russia","http://fr.dbpedia.org/resource/Aéroport_international_de_Sotchi"
"Montréal-Pierre Elliott Trudeau International Airport","CYUL","YUL","45.468649 -73.741389","Montreal","Canada","http://fr.dbpedia.org/resource/Aéroport_international_Pierre-Elliott-Trudeau_de_Montréal"
"Kansai International Airport","RJBB","KIX","34.435549 135.244446",,"Japan","http://fr.dbpedia.org/resource/Aéroport_international_du_Kansai"
"Hartsfield–Jackson Atlanta International Airport","KATL","ATL","33.639883 -84.427614","Atlanta","United States","http://fr.dbpedia.org/resource/Aéroport_international_Hartsfield-Jackson_d'Atlanta"
,"LFLL","LYS","45.725555556 5.081111111","Lyon","France","http://fr.dbpedia.org/resource/Aéroport_de_Lyon-Saint-Exupéry"
,"LFPG","CDG","49.009952 2.548635","Paris","France","http://fr.dbpedia.org/resource/Aéroport_de_Paris-Charles-de-Gaulle"
,"LFPO","ORY","48.72551 2.359443","Paris","France","http://fr.dbpedia.org/resource/Aéroport_de_Paris-Orly"
"London Heathrow Airport","EGLL","LHR","51.478443 -0.46134","London","United Kingdom","http://fr.dbpedia.org/resource/Aéroport_de_Londres_Heathrow"
"Don Mueang International Airport","VTBD","DMK","13.913615 100.606742","Bangkok",,"http://fr.dbpedia.org/resource/Aéroport_international_Don_Muang"
"Incheon International Airport","RKSI","ICN","37.469 126.449633","Seoul","South Korea","http://fr.dbpedia.org/resource/Aéroport_international_d'Incheon"
"John F. Kennedy International Airport","KJFK","JFK","40.640498 -73.778858","New York City",,"http://fr.dbpedia.org/resource/Aéroport_international_John-F.-Kennedy"
"Newark Liberty International Airport","KEWR","EWR","40.692792 -74.168572","New York City","United States","http://fr.dbpedia.org/resource/Aéroport_international_Newark_Liberty"
"Madrid-Barajas Airport","LEMD","MAD","40.488183 -3.5606","Madrid","Spain","http://fr.dbpedia.org/resource/Aéroport_international_de_Madrid-Barajas"
,"KBOS","BOS","42.36306 -71.00639","Boston",,"http://fr.dbpedia.org/resource/Aéroport_international_de_Boston-Logan"
"Seattle–Tacoma International Airport","KSEA","SEA","47.449857 -122.309418","Seattle",,"http://fr.dbpedia.org/resource/Aéroport_international_de_Seattle-Tacoma"
,"EDDF","FRA","50.032556 8.559895","Frankfurt",,"http://fr.dbpedia.org/resource/Aéroport_de_Francfort_/_Rhein-Main"
"George Bush Intercontinental Airport","KIAH","IAH","29.9848 -95.341372","Houston","United States","http://fr.dbpedia.org/resource/Aéroport_intercontinental_George-Bush_de_Houston"
"San Francisco International Airport","KSFO","SFO","37.621642 -122.382674","San Francisco",,"http://fr.dbpedia.org/resource/Aéroport_international_de_San_Francisco"
"Narita International Airport","RJAA","NRT","35.764413 140.391712","Tokyo","Japan","http://fr.dbpedia.org/resource/Aéroport_international_de_Narita"
"Chūbu Centrair International Airport","RJGG","NGO","34.858333 136.805278","Nagoya","Japan","http://fr.dbpedia.org/resource/Aéroport_international_du_Chūbu"
"Leonardo da Vinci-Fiumicino Airport","LIRF","FCO","41.807533 12.250786","Rome",,"http://fr.dbpedia.org/resource/Aéroport_Léonard-de-Vinci_de_Rome_Fiumicino"
"Haneda Airport","RJTT","HND","35.552602 139.779739","Tokyo","Japan","http://fr.dbpedia.org/resource/Aéroport_international_de_Tokyo-Haneda"
,"YSSY","SYD","-33.945549 151.177197","Sydney","Australia","http://fr.dbpedia.org/resource/Aéroport_Sydney-Kingsford_Smith"
"Philadelphia International Airport","KPHL","PHL","39.870223 -75.245404","Philadelphia",,"http://fr.dbpedia.org/resource/Aéroport_international_de_Philadelphie"
"Miami International Airport","KMIA","MIA","25.7975 -80.287222","Miami","United States","http://fr.dbpedia.org/resource/Aéroport_international_de_Miami"
"Châlons Vatry Airport","LFOK","XCR","48.77333333333333 4.206111111111111","Châlons-en-Champagne","France","http://fr.dbpedia.org/resource/Aéroport_Châlons_Vatry"
"Edwards Air Force Base","KEDW","EDW","34.915778 -117.891712",,,"http://fr.dbpedia.org/resource/Edwards_Air_Force_Base"
"Malpensa Airport","LIMC","MXP","45.627874 8.72426","Milan","Italy","http://fr.dbpedia.org/resource/Aéroport_de_Milan_Malpensa"
"Thule Air Base","BGTL","THU","76.53111111111112 -68.70305555555555",,"Greenland","http://fr.dbpedia.org/resource/Thulé_(base)"
"Amsterdam Airport Schiphol","EHAM","AMS","52.308059 4.760857","Amsterdam","Netherlands","http://fr.dbpedia.org/resource/Aéroport_d'Amsterdam-Schiphol"
"Nagasaki Airport","RJFU","NGS","32.916944 129.913611","Nagasaki","Japan","http://fr.dbpedia.org/resource/Aéroport_international_de_Nagasaki"
"Grenoble-Isère Airport","LFLS","GNB","45.363243 5.332317","Grenoble","France","http://fr.dbpedia.org/resource/Aéroport_de_Grenoble-Isère"
"Los Angeles International Airport","KLAX","LAX","33.942666 -118.408091","Los Angeles","United States","http://fr.dbpedia.org/resource/Aéroport_international_de_Los_Angeles"
"Washington Dulles International Airport","KIAD","IAD","38.946994 -77.45533","Washington, D.C.","United States","http://fr.dbpedia.org/resource/Aéroport_international_de_Washington-Dulles"
"Honolulu International Airport","PHNL","HNL","21.323639 -157.920399","Hawaii",,"http://fr.dbpedia.org/resource/Aéroport_international_d'Honolulu"
"Honolulu International Airport","PHNL","HNL","21.323639 -157.920399","Honolulu",,"http://fr.dbpedia.org/resource/Aéroport_international_d'Honolulu"
"Honolulu International Airport","PHNL","HNL","21.323639 -157.920399","Honolulu County, Hawaii",,"http://fr.dbpedia.org/resource/Aéroport_international_d'Honolulu"
"Joint Base Pearl Harbor-Hickam","PHNL","HNL","21.318842 -157.922587",,,"http://fr.dbpedia.org/resource/Hickam_Air_Force_Base"
"Beijing Capital International Airport","ZBAA","PEK","40.080386 116.584404","Beijing",,"http://fr.dbpedia.org/resource/Aéroport_international_de_Pékin"
,"VHHH","HKG","22.30887 113.919983","Hong Kong","China","http://fr.dbpedia.org/resource/Aéroport_international_d'Hong-Kong"
"Shanghai Pudong International Airport","ZSPD","PVG","31.143333 121.805278","Shanghai","China","http://fr.dbpedia.org/resource/Aéroport_international_de_Shanghai-Pudong"
"Fukuoka Airport","RJFF","FUK","33.584444 130.451667","Fukuoka","Japan","http://fr.dbpedia.org/resource/Aéroport_de_Fukuoka"
"Osaka International Airport","RJOO","ITM","34.78621 135.43838",,"Japan","http://fr.dbpedia.org/resource/Aéroport_international_d'Osaka"
"New Chitose Airport","RJCC","CTS","42.779814 141.6880368","Sapporo","Japan","http://fr.dbpedia.org/resource/Nouvel_aéroport_de_Chitose"
"Singapore Changi Airport","WSSS","SIN","1.359398 103.989447","Singapore","Singapore","http://fr.dbpedia.org/resource/Aéroport_Changi_de_Singapour"
"Phuket International Airport","VTSP","HKT","8.110556 98.3125","Phuket (city)",,"http://fr.dbpedia.org/resource/Aéroport_international_de_Phuket"
"Dalian Zhoushuizi International Airport","ZYTL","DLC","38.965556 121.538333","Dalian","China","http://fr.dbpedia.org/resource/Aéroport_international_de_Dalian"
"LaGuardia Airport","KLGA","LGA","40.777535 -73.872607","New York City","United States","http://fr.dbpedia.org/resource/Aéroport_de_LaGuardia"
"Warsaw Chopin Airport","EPWA","WAW","52.165833 20.967222","Warsaw","Poland","http://fr.dbpedia.org/resource/Aéroport_Frédéric_Chopin_de_Varsovie"
"Antonio B. Won Pat International Airport","PGUM","GUM","13.483889 144.797222","Guam",,"http://fr.dbpedia.org/resource/Aéroport_international_Antonio-B.-Won-Pat_de_Guam"
"Montréal-Mirabel International Airport","CYMX","YMX","45.683 -74.029","Montreal","Canada","http://fr.dbpedia.org/resource/Aéroport_international_Montréal-Mirabel"
,"LFML","MRS","43.436904 5.214987","Marseille",,"http://fr.dbpedia.org/resource/Aéroport_de_Marseille_Provence"
,"VABB","BOM","19.089008 72.868152","Mumbai",,"http://fr.dbpedia.org/resource/Aéroport_international_Chhatrapati-Shivaji"
"Boryspil International Airport","UKBB","KBP","50.345323 30.893555","Kiev","Ukraine","http://fr.dbpedia.org/resource/Aéroport_de_Kiev_Boryspil"
"Le Havre – Octeville Airport","LFOH","LEH","49.534094 0.088062","Le Havre",,"http://fr.dbpedia.org/resource/Aéroport_du_Havre-Octeville"
,"LFPX","XZX","48.842222 1.980278","Chavenay",,"http://fr.dbpedia.org/resource/Aérodrome_de_Chavenay_-_Villepreux"
"Sheremetyevo International Airport","UUEE","SVO","55.966918 37.41673","Moscow","Russia","http://fr.dbpedia.org/resource/Aéroport_international_Cheremetievo"
,"UUDD","DME","55.40926 37.906222","Moscow","Russia","http://fr.dbpedia.org/resource/Aéroport_de_Moscou-Domodedovo"
"Bykovo Airport","UUBB","BKA","55.620556 38.056389","Moscow",,"http://fr.dbpedia.org/resource/Aéroport_de_Bykovo"
"Vnukovo International Airport","UUWW","VKO","55.596729 37.267299","Moscow","Russia","http://fr.dbpedia.org/resource/Aéroport_international_de_Vnoukovo"
"Liège Airport","EBLG","LGG","50.637077 5.445829","Liège","Belgium","http://fr.dbpedia.org/resource/Aéroport_de_Liège"
"Luxembourg – Findel Airport","ELLX","LUX","49.623333 6.205","Luxembourg (city)","Luxembourg (city)","http://fr.dbpedia.org/resource/Aéroport_de_Luxembourg-Findel"
"Vienna International Airport","LOWW","VIE","48.111558 16.5697","Vienna","Austria","http://fr.dbpedia.org/resource/Aéroport_de_Vienne-Schwechat"
"Calvi – Sainte-Catherine Airport","LFKC","CLY","42.520636 8.792861","Calvi, Haute-Corse",,"http://fr.dbpedia.org/resource/Aéroport_de_Calvi-Sainte-Catherine"
"Ain Eddis Airport","DAAD","BUJ","35.331388888888895 4.204444444444444","Bou Saâda",,"http://fr.dbpedia.org/resource/Aéroport_de_Bou_Saâda"
"Clermont-Ferrand Auvergne Airport","LFLC","CFE","45.78638 3.162088","Clermont-Ferrand","France","http://fr.dbpedia.org/resource/Aéroport_de_Clermont-Ferrand_Auvergne"
,"LFBO","TLS","43.635 1.3677777777777778","Toulouse",,"http://fr.dbpedia.org/resource/Aéroport_de_Toulouse-Blagnac"
"Shannon Airport","EINN","SNN","52.7 -8.920469","Limerick","Republic of Ireland","http://fr.dbpedia.org/resource/Aéroport_de_Shannon"
"Kuala Lumpur International Airport","WMKK","KUL","2.756161 101.704388","Kuala Lumpur","Malaysia","http://fr.dbpedia.org/resource/Aéroport_international_de_Kuala_Lumpur"
,"LECS","CDT","40.209722 0.069722","Castellón de la Plana","Spain","http://fr.dbpedia.org/resource/Aéroport_de_Castellón-Costa_Azahar"
"London Stansted Airport","EGSS","STN","51.885074 0.23715","London",,"http://fr.dbpedia.org/resource/Aéroport_de_Londres_Stansted"
"N'djili Airport","FZAA","FIH","-4.381671 15.444546","Kinshasa","Democratic Republic of the Congo","http://fr.dbpedia.org/resource/Aéroport_international_de_Ndjili"
,"SVMI","CCS","10.607969 -66.990509","Caracas","Venezuela","http://fr.dbpedia.org/resource/Aéroport_international_Maiquetía_-_Simón_Bolívar"
"Jacinto Lara International Airport","SVBM","BRM","10.042778 -69.358611","Barquisimeto","Venezuela","http://fr.dbpedia.org/resource/Aéroport_international_Jacinto_Lara"
,"LFPB","LBG","48.949675 2.432356","Paris",,"http://fr.dbpedia.org/resource/Aéroport_de_Paris-Le_Bourget"
,"LFMT","MPL","43.583406 3.961215","Montpellier",,"http://fr.dbpedia.org/resource/Aéroport_de_Montpellier-Méditerranée"
"John Paul II International Airport Kraków-Balice","EPKK","KRK","50.078487 19.784746","Kraków","Poland","http://fr.dbpedia.org/resource/Aéroport_Jean-Paul_II_de_Cracovie"
,"LFRS","NTE","47.157914 -1.607952","Nantes","France","http://fr.dbpedia.org/resource/Aéroport_de_Nantes_Atlantique"
"Beauvais-Tillé Airport","LFOB","BVA","49.455098 2.112679","Beauvais",,"http://fr.dbpedia.org/resource/Aéroport_de_Beauvais-Tillé"
"Faro Airport","LPFR","FAO","37.014821 -7.965903","Faro, Portugal","Portugal","http://fr.dbpedia.org/resource/Aéroport_de_Faro"
,"FMEP","ZSE","-21.320161 55.42551","Saint-Pierre, Réunion",,"http://fr.dbpedia.org/resource/Aéroport_de_Saint-Pierre_Pierrefonds"
"Lyon-Bron Airport","LFLY","LYN","45.73015 4.938569","Lyon",,"http://fr.dbpedia.org/resource/Aéroport_de_Lyon-Bron"
"Helsinki-Malmi Airport","EFHF","HEM","60.2544 25.044065","Helsinki","Finland","http://fr.dbpedia.org/resource/Aéroport_d'Helsinki-Malmi"
"Rodez-Marcillac Airport","LFCR","RDZ","44.407972 2.482996","Rodez",,"http://fr.dbpedia.org/resource/Aéroport_de_Rodez-Aveyron"
"Tarbes-Lourdes-Pyrénées Airport","LFBT","LDE","43.186842 0.0","Tarbes",,"http://fr.dbpedia.org/resource/Aéroport_de_Tarbes-Lourdes-Pyrénées"
"Athens International Airport","LGAV","ATH","37.936768 23.944423","Athens","Greece","http://fr.dbpedia.org/resource/Aéroport_international_d'Athènes_Elefthérios-Venizélos"
"O'Hare International Airport","KORD","ORD","41.97897 -87.90468","Chicago","United States","http://fr.dbpedia.org/resource/Aéroport_international_O'Hare_de_Chicago"
,"NTAA","PPT","-17.553168 -149.607267","Papeete",,"http://fr.dbpedia.org/resource/Base_aérienne_190_Tahiti-Faa'a"
,"NTAA","PPT","-17.552554 -149.607182","Papeete",,"http://fr.dbpedia.org/resource/Aéroport_international_de_Tahiti_Faa'a"
"Biarritz – Anglet – Bayonne Airport","LFBZ","BIQ","43.468868 -1.531262","Anglet",,"http://fr.dbpedia.org/resource/Aéroport_de_Biarritz-Anglet-Bayonne"
"Biarritz – Anglet – Bayonne Airport","LFBZ","BIQ","43.468868 -1.531262","Biarritz",,"http://fr.dbpedia.org/resource/Aéroport_de_Biarritz-Anglet-Bayonne"
,"LFBP","PUF","43.38091 -0.418425",,,"http://fr.dbpedia.org/resource/Base_aérienne_119_Pau"
,"LFBP","PUF","43.38091 -0.418425","Pau, Pyrénées-Atlantiques",,"http://fr.dbpedia.org/resource/Aéroport_de_Pau-Pyrénées"
"Périgueux Bassillac Airport","LFBX","PGX","45.197704 0.815005","Périgueux",,"http://fr.dbpedia.org/resource/Aéroport_Périgueux-Bassillac"
,"LFBE","EGC","44.824444444444445 0.5205555555555555","Bergerac, Dordogne","France","http://fr.dbpedia.org/resource/Aéroport_de_Bergerac-Dordogne-Périgord"
"Agen – La Garenne Aerodrome","LFBA","AGF","44.174971 0.590515","Agen",,"http://fr.dbpedia.org/resource/Aéroport_Agen-La_Garenne"
"Bordeaux–Mérignac Airport","LFBD","BOD","44.82861111111111 -0.7152777777777778","Bordeaux",,"http://fr.dbpedia.org/resource/Aéroport_de_Bordeaux_-_Mérignac"
"Auckland Airport","NZAA","AKL","-37.007625 174.791665","Auckland","New Zealand","http://fr.dbpedia.org/resource/Aéroport_d'Auckland"
"Stockholm-Bromma Airport","ESSB","BMA","59.354327 17.943635","Stockholm","Sweden","http://fr.dbpedia.org/resource/Aéroport_de_Stockholm-Bromma"
"Ushuaia – Malvinas Argentinas International Airport","SAWH","USH","-54.842272 -68.293934","Ushuaia","Argentina","http://fr.dbpedia.org/resource/Aéroport_international_d'Ushuaïa"
"Düsseldorf International Airport","EDDL","DUS","51.29005 6.766462","Düsseldorf",,"http://fr.dbpedia.org/resource/Aéroport_international_de_Düsseldorf"
"Québec City Jean Lesage International Airport","CYQB","YQB","46.791951 -71.393366","Quebec","Canada","http://fr.dbpedia.org/resource/Aéroport_international_Jean-Lesage_de_Québec"
"Québec City Jean Lesage International Airport","CYQB","YQB","46.791951 -71.393366","Quebec City","Canada","http://fr.dbpedia.org/resource/Aéroport_international_Jean-Lesage_de_Québec"
"Dinard – Pleurtuit – Saint-Malo Airport","LFRD","DNR","48.588446 -2.080064","Dinard",,"http://fr.dbpedia.org/resource/Aéroport_de_Dinard_Pleurtuit_Saint-Malo"
"Guangzhou Baiyun International Airport","ZGGG","CAN","23.393391 113.298783","Guangzhou",,"http://fr.dbpedia.org/resource/Aéroport_international_de_Canton_Baiyun"
"Helsinki Airport","EFHK","HEL","60.317222 24.963333","Helsinki","Finland","http://fr.dbpedia.org/resource/Aéroport_d'Helsinki-Vantaa"
"Albenga Airport","LIMG","ALL","44.046142 8.125441","Albenga","Italy","http://fr.dbpedia.org/resource/Aéroport_international_de_Villanova_d'Albenga"
"Épinal – Mirecourt Airport","LFSG","EPL","48.325413 6.066685","Épinal",,"http://fr.dbpedia.org/resource/Aéroport_d'Épinal-Mirecourt"
"Otis Air National Guard Base","KFMH","FMH","41.658806 -70.521412",,,"http://fr.dbpedia.org/resource/Otis_Air_National_Guard_Base"
"Raleigh-Durham International Airport","KRDU","RDU","35.878132 -78.787529","Raleigh, North Carolina",,"http://fr.dbpedia.org/resource/Aéroport_international_de_Raleigh-Durham"
,"KSNA","SNA","33.675569 -117.868409","Santa Ana, California",,"http://fr.dbpedia.org/resource/Aéroport_John_Wayne"
"Toronto Pearson International Airport","CYYZ","YYZ","43.679543 -79.629936","Toronto",,"http://fr.dbpedia.org/resource/Aéroport_international_Pearson_de_Toronto"
,"LFJL","ETZ","48.978611 6.246371","Metz",,"http://fr.dbpedia.org/resource/Aéroport_de_Metz-Nancy-Lorraine"
,"LFJL","ETZ","48.978611 6.246371","Nancy, France",,"http://fr.dbpedia.org/resource/Aéroport_de_Metz-Nancy-Lorraine"
,"FIMP","MRU","-20.429185 57.683501",,"Mauritius","http://fr.dbpedia.org/resource/Aéroport_international_Sir-Seewoosagur-Ramgoolam"
"London Luton Airport","EGGW","LTN","51.874875 -0.368428","Luton","United Kingdom","http://fr.dbpedia.org/resource/Aéroport_de_Londres_Luton"
"Henri Coandă International Airport","LROP","OTP","44.571389 26.103611","Bucharest","Romania","http://fr.dbpedia.org/resource/Aéroport_international_Henri-Coandă"
"Łódź Władysław Reymont Airport","EPLL","LCJ","51.721944444444446 19.398055555555555","Łódź","Poland","http://fr.dbpedia.org/resource/Aéroport_Władysław_Reymont_de_Łódź"
,"EDDM","MUC","48.353511 11.781893","Munich",,"http://fr.dbpedia.org/resource/Aéroport_de_Munich-Franz-Josef_Strauss"
"Christchurch International Airport","NZCH","CHC","-43.488113 172.532129","Christchurch","New Zealand","http://fr.dbpedia.org/resource/Aéroport_international_de_Christchurch"
"Totegegie Airport","NTGJ","GMR","-23.084598 -134.885491","Rikitea",,"http://fr.dbpedia.org/resource/Totegegie"
"Dallas/Fort Worth International Airport","KDFW","DFW","32.897318 -97.038031","Dallas","United States","http://fr.dbpedia.org/resource/Aéroport_international_de_Dallas-Fort_Worth"
"Cork Airport","EICK","ORK","51.842778 -8.497066","Cork (city)","Republic of Ireland","http://fr.dbpedia.org/resource/Aéroport_international_de_Cork"
"Caen – Carpiquet Airport","LFRK","CFR","49.17382 -0.449753","Caen",,"http://fr.dbpedia.org/resource/Aéroport_de_Caen_-_Carpiquet"
"Cognac – Châteaubernard Air Base","LFBG","CNG","45.655868 -0.313668","Cognac",,"http://fr.dbpedia.org/resource/Base_aérienne_709_Cognac-Châteaubernard"
"Poitiers – Biard Airport","LFBI","PIS","46.587624 0.306673","Poitiers",,"http://fr.dbpedia.org/resource/Aéroport_de_Poitiers-Biard"
,"LFMD","CEQ","43.547024 6.954131","Cannes",,"http://fr.dbpedia.org/resource/Aéroport_de_Cannes-Mandelieu"
,"LFRN","RNS","48.071944 -1.732222","Rennes",,"http://fr.dbpedia.org/resource/Aéroport_de_Rennes"
"Morlaix – Ploujean Airport","LFRU","MXN","48.601247 -3.816762","Morlaix",,"http://fr.dbpedia.org/resource/Aéroport_de_Morlaix_Ploujean"
,"LFAB","DPE","49.8825 1.0852777777777778","Dieppe, Seine-Maritime","France","http://fr.dbpedia.org/resource/Aérodrome_de_Dieppe_-_Saint-Aubin"
"Montluçon – Guéret Airport","LFBK","MCU","46.226878 2.362661","Guéret",,"http://fr.dbpedia.org/resource/Aéroport_de_Montluçon_Guéret"
"Montluçon – Guéret Airport","LFBK","MCU","46.226878 2.362661","Montluçon",,"http://fr.dbpedia.org/resource/Aéroport_de_Montluçon_Guéret"
,"LFSN","ENC","48.69266 6.225729","Nancy, France",,"http://fr.dbpedia.org/resource/Aéroport_de_Nancy-Essey"
"Tours Val de Loire Airport","LFOT","TUF","47.433023 0.723295","Tours",,"http://fr.dbpedia.org/resource/Aéroport_de_Tours_Val_de_Loire"
,"LFOT","TUF","47.432094 0.723209",,,"http://fr.dbpedia.org/resource/Base_aérienne_705_Tours"
"Lorient South Brittany Airport","LFRH","LRT","47.760964 -3.439579","Lorient",,"http://fr.dbpedia.org/resource/Aéroport_de_Lorient_Bretagne_Sud"
,"LFRH","LRT","47.760907 -3.439665","Lorient","France","http://fr.dbpedia.org/resource/Base_d'aéronautique_navale_de_Lann-Bihoué"
"Nîmes-Alès-Camargue-Cévennes Airport","LFTW","FNI","43.75786 4.416246","Nîmes",,"http://fr.dbpedia.org/resource/Aéroport_de_Nîmes_-_Garons"
,"LFTW","FNI","43.757736 4.416332",,,"http://fr.dbpedia.org/resource/Base_d'aéronautique_navale_de_Nîmes-Garons"
"Tunis–Carthage International Airport","DTTA","TUN","36.851111 10.227222","Tunis","Tunisia","http://fr.dbpedia.org/resource/Aéroport_international_de_Tunis-Carthage"
"Ottawa Macdonald-Cartier International Airport","CYOW","YOW","45.322899 -75.66915","Ottawa","Canada","http://fr.dbpedia.org/resource/Aéroport_international_Macdonald-Cartier_d'Ottawa"
"Saint-Brieuc – Armor Airport","LFRT","SBK","48.537835 -2.85666","Saint-Brieuc",,"http://fr.dbpedia.org/resource/Aéroport_de_Saint-Brieuc_Armor"
"Mohammed V International Airport","GMMN","CMN","33.368056 -7.588056","Casablanca","Morocco","http://fr.dbpedia.org/resource/Aéroport_Mohammed_V_de_Casablanca"
,"LFRB","BES","48.447735 -4.421868","Brest, France",,"http://fr.dbpedia.org/resource/Aéroport_de_Brest-Bretagne"
"Quimper – Cornouaille Airport","LFRQ","UIP","47.97553 -4.167981","Quimper","France","http://fr.dbpedia.org/resource/Aéroport_de_Quimper_Cornouaille"
"Zurich Airport","LSZH","ZRH","47.459491 8.548479",,"Switzerland","http://fr.dbpedia.org/resource/Aéroport_international_de_Zurich"
"Geneva International Airport","LSGG","GVA","46.236389 6.107222","Geneva","Switzerland","http://fr.dbpedia.org/resource/Aéroport_international_de_Genève"
"Santiago de Compostela Airport","LEST","SCQ","42.900616 -8.4163","Santiago de Compostela","Spain","http://fr.dbpedia.org/resource/Aéroport_de_Saint-Jacques-de-Compostelle"
"Deauville – Saint-Gatien Airport","LFRG","DOL","49.36393 0.159945","Lower Normandy",,"http://fr.dbpedia.org/resource/Aéroport_de_Deauville_-_Normandie"
"Deauville – Saint-Gatien Airport","LFRG","DOL","49.36393 0.159945","Deauville",,"http://fr.dbpedia.org/resource/Aéroport_de_Deauville_-_Normandie"
"Montréal/Saint-Hubert Airport","CYHU","YHU","45.517233 -73.416996","Longueuil","Canada","http://fr.dbpedia.org/resource/Aéroport_de_Saint-Hubert"
"Zvartnots International Airport","UDYZ","EVN","40.148635 44.395838","Yerevan","Armenia","http://fr.dbpedia.org/resource/Aéroport_international_Zvartnots"
"Dole–Jura Airport","LFGJ","DLE","47.04222222222222 5.424444444444444","Dole, Jura",,"http://fr.dbpedia.org/resource/Aéroport_de_Dole-Jura"
"Castres–Mazamet Airport","LFCK","DCM","43.556852 2.28919","Castres",,"http://fr.dbpedia.org/resource/Aéroport_de_Castres-Mazamet"
"Castres–Mazamet Airport","LFCK","DCM","43.556852 2.28919","Mazamet",,"http://fr.dbpedia.org/resource/Aéroport_de_Castres-Mazamet"
"Lannion – Côte de Granit Airport","LFRO","LAI","48.755566 -3.474512","Lannion",,"http://fr.dbpedia.org/resource/Aéroport_de_Lannion"
"Ajaccio – Napoléon Bonaparte Airport","LFKJ","AJA","41.924281 8.802409","Ajaccio",,"http://fr.dbpedia.org/resource/Aéroport_d'Ajaccio_Napoléon_Bonaparte"
"Angoulême – Brie – Champniers Airport","LFBU","ANG","45.72976 0.218782","Angoulême",,"http://fr.dbpedia.org/resource/Aéroport_international_Angoulême-Cognac"
"Angers – Loire Airport","LFJR","ANE","47.56034 -0.312037","Angers",,"http://fr.dbpedia.org/resource/Angers_Loire_Aéroport"
"Auxerre – Branches Aerodrome","LFLA","AUF","47.84638888888889 3.4966666666666666","Auxerre","France","http://fr.dbpedia.org/resource/Aéroport_d'Auxerre_-_Branches"
"Aurillac Airport","LFLW","AUR","44.8975 2.416606","Aurillac","France","http://fr.dbpedia.org/resource/Aéroport_d'Aurillac"
"Barcelonnette – Saint-Pons Airport","LFMR","BAE","44.38821 6.61025","Barcelonnette",,"http://fr.dbpedia.org/resource/Aérodrome_de_Barcelonnette_-_Saint-Pons"
"Bastia – Poretta Airport","LFKB","BIA","42.550804 9.48472","Bastia",,"http://fr.dbpedia.org/resource/Aéroport_de_Bastia_Poretta"
"Lille Airport","LFQQ","LIL","50.564267 3.0863","Lille",,"http://fr.dbpedia.org/resource/Aéroport_de_Lille_-_Lesquin"
,"LFST","SXB","48.542239 7.634039","Strasbourg",,"http://fr.dbpedia.org/resource/Aéroport_de_Strasbourg-Entzheim"
"Figari Sud-Corse Airport","LFKF","FSC","41.502921 9.096422","Bonifacio, Corse-du-Sud",,"http://fr.dbpedia.org/resource/Aéroport_de_Figari_Sud_Corse"
"Figari Sud-Corse Airport","LFKF","FSC","41.502921 9.096422","Porto-Vecchio",,"http://fr.dbpedia.org/resource/Aéroport_de_Figari_Sud_Corse"
"Perpignan – Rivesaltes Airport","LFMP","PGF","42.740833 2.869722","Perpignan",,"http://fr.dbpedia.org/resource/Aéroport_de_Perpignan-Rivesaltes"
"Carcassonne Airport","LFMK","CCF","43.216217 2.308331","Carcassonne",,"http://fr.dbpedia.org/resource/Aéroport_de_Carcassonne_Salvaza"
"La Rochelle – Île de Ré Airport","LFBH","LRH","46.17916666666667 -1.1952777777777777","La Rochelle","France","http://fr.dbpedia.org/resource/Aéroport_de_La_Rochelle_-_île_de_Ré"
"La Rochelle – Île de Ré Airport","LFBH","LRH","46.17916666666667 -1.1952777777777777","Île de Ré","France","http://fr.dbpedia.org/resource/Aéroport_de_La_Rochelle_-_île_de_Ré"
,"LFMU","BZR","43.323333 3.353333","Béziers",,"http://fr.dbpedia.org/resource/Aéroport_de_Béziers_Cap_d'Agde"
"Limoges – Bellegarde Airport","LFBL","LIG","45.861175 1.180344","Limoges",,"http://fr.dbpedia.org/resource/Aéroport_de_Limoges-Bellegarde"
"Saint-Étienne – Bouthéon Airport","LFMH","EBU","45.533889 4.297222","Saint-Étienne",,"http://fr.dbpedia.org/resource/Aéroport_de_Saint-Étienne_-_Bouthéon"
"Bari Airport","LIBD","BRI","41.081988 16.453814","Bari","Italy","http://fr.dbpedia.org/resource/Aéroport_de_Bari"
"Gothenburg-Landvetter Airport","ESGG","GOT","57.667778 12.294444","Gothenburg",,"http://fr.dbpedia.org/resource/Aéroport_de_Göteborg-Landvetter"
,"NWWW","NOU","-22.015912 166.216149","Nouméa",,"http://fr.dbpedia.org/resource/Aéroport_international_de_Nouméa_-_La_Tontouta"
,"NWWW","NOU","-22.015952 166.216149","Nouméa",,"http://fr.dbpedia.org/resource/Base_aérienne_186_Nouméa"
"Pontoise – Cormeilles Aerodrome","LFPT","POX","49.096666666666664 2.0408333333333335","Cergy-Pontoise","France","http://fr.dbpedia.org/resource/Aéroport_de_Pontoise_-_Cormeilles-en-Vexin"
"Brindisi Airport","LIBR","BDS","40.65483 17.94133","Brindisi","Italy","http://fr.dbpedia.org/resource/Aéroport_de_Brindisi"
"Moorea Airport","NTTM","MOZ","-17.490267 -149.762492","Moorea-Maiao",,"http://fr.dbpedia.org/resource/Aéroport_de_Moorea"
