"name","icao","iata","coordinates","cityName","countryName","airport"
"Tirana International Airport Nënë Tereza","LATI","TIA","41.414722 19.720556","Tirana","Albania","http://fr.dbpedia.org/resource/Aéroport_international_de_Tirana"
"Qikiqtarjuaq Airport","CYVM","YVM","67.546667 -64.031667","Qikiqtarjuaq","Canada","http://fr.dbpedia.org/resource/Aéroport_de_Qikiqtarjuaq"
,"FTTJ","NDJ","12.133611 15.033889","N'Djamena","Chad","http://fr.dbpedia.org/resource/Aéroport_international_de_Ndjamena"
"Moi International Airport","HKMO","MBA","-4.028648 39.598876","Mombasa","Kenya","http://fr.dbpedia.org/resource/Aéroport_international_Moi"
"Gibraltar International Airport","LXGB","GIB","36.151111 -5.349722","Gibraltar","Gibraltar","http://fr.dbpedia.org/resource/Aéroport_de_Gibraltar"
"Gibraltar International Airport","LXGB","GIB","36.151111 -5.349722","La Línea de la Concepción","Gibraltar","http://fr.dbpedia.org/resource/Aéroport_de_Gibraltar"
"Baker Lake Airport","CYBK","YBK","64.299217 -96.077671","Baker Lake, Nunavut","Canada","http://fr.dbpedia.org/resource/Aéroport_de_Baker_Lake"
"Tianjin Binhai International Airport","ZBTJ","TSN","39.124444 117.346111","Tianjin",,"http://fr.dbpedia.org/resource/Aéroport_international_de_Tianjin_Binhai"
"Bangui M'Poko International Airport","FEFF","BGF","4.398475 18.518786","Bangui","Central African Republic","http://fr.dbpedia.org/resource/Aéroport_international_de_Bangui"
"Gan International Airport","VRMG","GAN","-0.693333 73.155556",,"Maldives","http://fr.dbpedia.org/resource/Aéroport_international_de_Gan"
"Chinggis Khaan International Airport","ZMUB","ULN","47.843056 106.766389","Ulan Bator","Mongolia","http://fr.dbpedia.org/resource/Aéroport_international_Gengis_Khan"
"Louis Armstrong New Orleans International Airport","KMSY","MSY","29.993333 -90.258056","New Orleans","United States","http://fr.dbpedia.org/resource/Aéroport_international_Louis_Armstrong_de_La_Nouvelle-Orléans"
"Baton Rouge Metropolitan Airport","KBTR","BTR","30.532778 -91.15","Baton Rouge, Louisiana","United States","http://fr.dbpedia.org/resource/Aéroport_métropolitain_de_Bâton-Rouge"
"Oslo Airport, Gardermoen","ENGM","OSL","60.202778 11.083889","Oslo","Norway","http://fr.dbpedia.org/resource/Aéroport_international_d'Oslo-Gardermoen"
"Norman Manley International Airport","MKJP","KIN","17.935556 -76.7875","Kingston, Jamaica","Jamaica","http://fr.dbpedia.org/resource/Aéroport_international_Norman_Manley_de_Kingston"
"Chesterfield Inlet Airport","CYCS","YCS","63.346944 -90.731111","Chesterfield Inlet, Nunavut","Canada","http://fr.dbpedia.org/resource/Aéroport_de_Chesterfield_Inlet"
"Coral Harbour Airport","CYZS","YZS","64.193333 -83.359444","Coral Harbour","Canada","http://fr.dbpedia.org/resource/Aéroport_de_Coral_Harbour"
"Whale Cove Airport","CYXN","YXN","62.24 -92.598055","Whale Cove, Nunavut","Canada","http://fr.dbpedia.org/resource/Aéroport_de_Whale_Cove"
"Sanikiluaq Airport","CYSK","YSK","56.537778 -79.246667","Sanikiluaq","Canada","http://fr.dbpedia.org/resource/Aéroport_de_Sanikiluaq"
"Clayton J. Lloyd International Airport","TQPF","AXA","18.204722 -63.055","The Valley, Anguilla",,"http://fr.dbpedia.org/resource/Aéroport_de_Wallblake"
"Jeju International Airport","RKPC","CJU","33.511389 126.493056","Jeju City",,"http://fr.dbpedia.org/resource/Aéroport_international_de_Jeju"
"Gulfport-Biloxi International Airport","KGPT","GPT","30.407222 -89.07","Gulfport, Mississippi","United States","http://fr.dbpedia.org/resource/Aéroport_international_de_Gulfport-Biloxi"
"Malmö Airport","ESMS","MMX","55.53 13.371389","Malmö","Sweden","http://fr.dbpedia.org/resource/Aéroport_de_Malmö"
"Yeager Airport","KCRW","CRW","38.373056 -81.593056","Charleston, West Virginia","United States","http://fr.dbpedia.org/resource/Aéroport_Yeager_de_Charleston"
"Sioux Falls Regional Airport","KFSD","FSD","43.581944 -96.741944","Sioux Falls, South Dakota","United States","http://fr.dbpedia.org/resource/Aéroport_régional_de_Sioux_Falls"
"Charleston International Airport","KCHS","CHS","32.898611 -80.040556","Charleston, South Carolina","United States","http://fr.dbpedia.org/resource/Aéroport_international_de_Charleston"
"Enontekiö Airport","EFET","ENF","68.364444 23.4275","Enontekiö","Finland","http://fr.dbpedia.org/resource/Aéroport_d'Enontekiö"
"Traian Vuia International Airport","LRTR","TSR","45.809925 21.320347","Timișoara","Romania","http://fr.dbpedia.org/resource/Aéroport_international_Traian-Vuia"
"Jan Mayensfield","ENJA","ZXB","70.922 -8.715","Olonkinbyen","Norway","http://fr.dbpedia.org/resource/Aéroport_d'Olonkinbyen"
"Eppley Airfield","KOMA","OMA","41.302 -95.893667","Omaha, Nebraska","United States","http://fr.dbpedia.org/resource/Aéroport_Eppley_d'Omaha"
"Manchester-Boston Regional Airport","KMHT","MHT","42.9325 -71.435556","Manchester, New Hampshire","United States","http://fr.dbpedia.org/resource/Aéroport_régional_de_Manchester"
"Cadjehoun Airport","DBBB","COO","6.357228 2.384353","Cotonou","Benin","http://fr.dbpedia.org/resource/Aéroport_international_de_Cotonou"
"Buttonville Municipal Airport","CYKZ","YKZ","43.86189 -79.36927",,,"http://fr.dbpedia.org/resource/Buttonville_Municipal_Airport"
"T. F. Green Airport","KPVD","PVD","41.723889 -71.428333","Providence, Rhode Island","United States","http://fr.dbpedia.org/resource/Aéroport_de_Providence"
"Bahrain International Airport","OBBI","BAH","26.270833 50.633611","Manama","Bahrain","http://fr.dbpedia.org/resource/Aéroport_international_de_Bahreïn"
"Asmara International Airport","HHAS","ASM","15.291853 38.910667","Asmara","Eritrea","http://fr.dbpedia.org/resource/Aéroport_international_d'Asmara"
"Mangalore Airport (India)","VOML","IXE","12.961389 74.89","Mangalore","India","http://fr.dbpedia.org/resource/Aéroport_international_de_Mangalore"
"Dzaoudzi Pamandzi International Airport","FMCZ","DZA","-12.804722 45.281111","Dzaoudzi",,"http://fr.dbpedia.org/resource/Aéroport_de_Dzaoudzi-Pamandzi"
"Portland International Jetport","KPWM","PWM","43.646111 -70.309167","Portland, Maine","United States","http://fr.dbpedia.org/resource/Aéroport_international_de_Portland_(Maine)"
"Alta Airport","ENAT","ALF","69.976111 23.371667","Alta, Norway","Norway","http://fr.dbpedia.org/resource/Aéroport_d'Alta"
"Windhoek Hosea Kutako International Airport","FYWH","WDH","-22.486667 17.4625","Windhoek","Namibia","http://fr.dbpedia.org/resource/Aéroport_international_Hosea_Kutako_de_Windhoek"
"General Mitchell International Airport","KMKE","MKE","42.947222 -87.896667","Milwaukee","United States","http://fr.dbpedia.org/resource/Aéroport_international_General_Mitchell_de_Milwaukee"
"Kugaaruk Airport","CYBB","YBB","68.534444 -89.808056","Kugaaruk","Canada","http://fr.dbpedia.org/resource/Aéroport_de_Kugaaruk"
"El Salvador International Airport","MSLP","SAL","13.440947 -89.055728","San Salvador",,"http://fr.dbpedia.org/resource/Aéroport_international_de_San_Salvador"
"Lhasa Gonggar Airport","ZULS","LXA","29.297778 90.911944","Lhasa",,"http://fr.dbpedia.org/resource/Aéroport_de_Lhassa_Gonggar"
"Augusto C. Sandino International Airport","MNMG","MGA","12.141389 -86.168056","Managua","Nicaragua","http://fr.dbpedia.org/resource/Aéroport_international_de_Managua"
"La Aurora International Airport","MGGT","GUA","14.583272 -90.527475","Guatemala City","Guatemala City","http://fr.dbpedia.org/resource/Aéroport_international_La_Aurora"
"Juan Santamaría International Airport","MROC","SJO","9.993611 -84.208611","San José, Costa Rica","Costa Rica","http://fr.dbpedia.org/resource/Aéroport_international_Juan_Santamaría_de_San_José"
"George Airport","FAGG","GRJ","-34.006667 22.380833","George, Western Cape","South Africa","http://fr.dbpedia.org/resource/Aéroport_de_George"
"Ramón Villeda Morales International Airport","MHLM","SAP","15.4525 -87.923333","San Pedro Sula","Honduras","http://fr.dbpedia.org/resource/Aéroport_international_Ramón_Villeda_Morales"
"Osvaldo Vieira International Airport","GGOV","OXB","11.895 -15.653611","Bissau","Guinea-Bissau","http://fr.dbpedia.org/resource/Aéroport_international_Osvaldo_Vieira_de_Bissau"
"Sir Seretse Khama International Airport","FBSK","GBE","-24.555278 25.918333","Gaborone","Botswana","http://fr.dbpedia.org/resource/Aéroport_international_de_Gaborone"
"Moshoeshoe I International Airport","FXMM","MSU","-29.462222 27.5525","Maseru","Lesotho","http://fr.dbpedia.org/resource/Aéroport_international_de_Maseru"
"Niue International Airport","NIUE","IUE","-19.076 -169.926","Alofi","Niue","http://fr.dbpedia.org/resource/Aéroport_international_de_Niue"
"Maputo International Airport","FQMA","MPM","-25.920833 32.5725","Maputo","Mozambique","http://fr.dbpedia.org/resource/Aéroport_international_de_Maputo"
"Heydar Aliyev International Airport","UBBB","GYD","40.4675 50.046667","Baku","Azerbaijan","http://fr.dbpedia.org/resource/Aéroport_international_Heydar_Aliyev_de_Bakou"
"Podgorica Airport","LYPG","TGD","42.359444 19.251944","Podgorica","Montenegro","http://fr.dbpedia.org/resource/Aéroport_de_Podgorica"
"Wattay International Airport","VLVT","VTE","17.988333 102.563333","Vientiane","Laos","http://fr.dbpedia.org/resource/Aéroport_international_de_Wattay"
"Nadi International Airport","NFFN","NAN","-17.755278 177.443333","Nadi, Fiji","Fiji","http://fr.dbpedia.org/resource/Aéroport_international_de_Nadi"
"Fuaʻamotu International Airport","NFTF","TBU","-21.241111 -175.149444",,"Tonga","http://fr.dbpedia.org/resource/Aéroport_international_Fuaʻamotu"
"Kortrijk-Wevelgem International Airport","EBKT","KJK","50.818164 3.207107","Kortrijk","Belgium","http://fr.dbpedia.org/resource/Aéroport_de_Courtrai"
