DYN,"Danyang Railway Station, China (on the Shanghai–Nanjing Intercity Railway line)","Gare de Danyang, Danyang, Chine",Danyang Railway Station,Gare de Danyang,Danyang,Danyang,,China,http://en.wikipedia.org/wiki/Danyang_Railway_Station,http://tools.wmflabs.org/geohack/geohack.php?pagename=Danyang_Railway_Station&params=32_0_12_N_119_35_15_E_region:CN-32_type:railwaystation,32.003333,119.5875
EEP,"Pamplona Railway Station, Pamplona, Spain","Gare de Pampelune, Pampelune, Espagne",Pamplona Railway Station,Gare de Pampelune,Pamplona,Pampelune,Navarre,Spain,,https://tools.wmflabs.org/geohack/geohack.php?pagename=Pamplona_Railway_Station&params=42_49_28_N_1_39_40_W_region:ES_type:railwaystation,42.824624,-1.661218
EWR,"Newark Liberty International Airport Railway station (NJT station), New Jersey, USA (8 km or 5.0 mi from the airport via monorail)","Gare ferrovaire de l'aéroport international de Newark-Liberty, New York, Etats Unis (à 8 km de l'aéroport - via monorail)",Newark Liberty International Airport (NJT station),Gare ferrovaire de l'aéroport international de Newark-Liberty,New York,New York,New Jersey,USA,http://en.wikipedia.org/wiki/Newark_Liberty_International_Airport_%28NJT_station%29,http://tools.wmflabs.org/geohack/geohack.php?pagename=Newark_Liberty_International_Airport_%28NJT_station%29&params=40.7044_N_-74.1907_E_type:railwaystation_region:US-NJ,40.7044,-74.1907,A
FRA,"Frankfurt (Main) Flughafen Fernbahnhof (in Frankfurt am Main), Germany on the Cologne-Frankfurt high-speed rail line (walking distance from the airport)","Gare de Francfort-sur-le-Main, Francfort-sur-le-Main, Allemagne (à distance de marche de l'aéroport)",Frankfurt am Main Flughafen Fernbahnhof,Gare de Francfort-sur-le-Main,Frankfurt am Main,Francfort-sur-le-Main,,Germany,http://en.wikipedia.org/wiki/Frankfurt_Airport_long-distance_station,http://tools.wmflabs.org/geohack/geohack.php?pagename=Frankfurt_Airport_long-distance_station&params=50_03_10_N_8_34_12_E_region:DE-HE_type:railwaystation,50.052778,8.57,A
FVS,"Finland Station in Saint Petersburg, Russia","Gare de Finlande, Saint Perterbourg, Russie",Finland Station,Gare de Finlande,Saint Petersburg,Saint-Pétersbourg,,Russia,http://en.wikipedia.org/wiki/Finland_Station,http://tools.wmflabs.org/geohack/geohack.php?pagename=Finland_Station&params=59_57_20_N_30_21_24_E_region:RU_type:railwaystation,59.955556,30.356667
GVA,"Cornavin Airport Railway station, Geneva, Switzerland (underneath Geneva airport)","Gare de Cornavin, Geneve (sous l'aéroport de Genève), Suisse",Cornavin Railway station,Gare de Cornavin,Geneva,Geneve,,Switzerland,http://en.wikipedia.org/wiki/Gen%C3%A8ve-Cornavin_railway_station,http://tools.wmflabs.org/geohack/geohack.php?pagename=Gen%C3%A8ve-Cornavin_railway_station&params=46_12_37_N_6_08_33_E_region:CH-GE_type:railwaystation_source:GNS-enwiki,46.210278,6.1425,A
HEC,"Helsinki Central railway station, Helsinki, Finland","Gare centrale d'Helsinki, Helsinki, Finlande",Helsinki Central railway station,Gare centrale d'Helsinki,Helsinki,Helsinki,,Finland,http://en.wikipedia.org/wiki/Helsinki_Central_railway_station,http://tools.wmflabs.org/geohack/geohack.php?pagename=Helsinki_Central_railway_station&params=60_10_19_N_24_56_29_E_type:railwaystation_region:FI,60.171944,24.941389
HVT,"Tikkurila railway station, Helsinki, Finland","Gare de Tikkurila, Helsinki, Finlande",Tikkurila railway station,Gare de Tikkurila,Helsinki,Helsinki,,Finland,http://en.wikipedia.org/wiki/Helsinki_Central_railway_station,http://tools.wmflabs.org/geohack/geohack.php?pagename=Helsinki_Central_railway_station&params=60_10_19_N_24_56_29_E_type:railwaystation_region:FI,60.171944,24.941389
JKG,"Jönköping central railway station, Jönköping, Sweden (11 km from the airport)","Gare centrale de Jönköping, Jönköping, Suède(à 11 km de l'aéroport)",Jönköping railway station,Gare de Jönköping,Jönköping,Jönköping,,Sweden,,https://tools.wmflabs.org/geohack/geohack.php?pagename=Jönköping_railway_station&params=57_47_4_N_14_9_47_E_type:railwaystation_region:SE,57.784706,14.163322,A
KLR,"Kalmar railway station, Kalmar, Sweden (6 km from the airport)","Gare de Kalmar, Kalmar, Suède (à 6km de l'aéroport)",Kalmar central railway station,Gare de Kalmar central,Kalmar,Kalmar,,Sweden,,https://tools.wmflabs.org/geohack/geohack.php?pagename=Kalmar_central_railway_station&params=56_39_40_N_16_21_36_E_type:railwaystation_region:SE,56.6613601,16.3601002,A
